"line"	"fertility"	"Std. Error"	"z value"	"Pr(>|z|)"	"pop"	"popr"	"env"	"T12"	"T13"	"T21"	"T23"	"T31"	"T32"	"w"	"population"
"A6140L214"	0.568337381579541	0.0224388380306439	25.3282893170931	1.55910541431081e-141	"A6140"	"A6140"	"NGM"	-0.727368241866943	-0.468910186750526	0.286447747318955	1.03684621390609	0.271682393430851	0.569183070207503	1.05428742613099	"A6140"
"A6140L217"	0.640990014839726	0.0222589979142064	28.7968945102702	2.34587630721527e-182	"A6140"	"A6140"	"NGM"	-0.252396594453439	-0.221417213250239	0.1868149102308	0.152944883894659	0.155695348530556	0.022826834656343	1.13373528863504	"A6140"
"A6140L218"	0.438504714716845	0.0197890701192544	22.158934809685	8.55504120746228e-109	"A6140"	"A6140"	"NGM"	0.0957540118738183	0.121515915625265	-0.529374632967293	1.22909553761854	-0.296390803183274	1.21182530085783	0.925919895881358	"A6140"
"A6140L22"	0.536194529377718	0.0186478760732343	28.753651476016	8.15383457210248e-182	"A6140"	"A6140"	"NGM"	0.118420912820275	0.0729416213312778	-0.0703865780176472	0.507601116473571	0.0622773717270509	0.555141200135305	1.02093845788705	"A6140"
"A6140L225"	0.715396978786903	0.0204590864476135	34.967200545279	7.09386194167149e-268	"A6140"	"A6140"	"NGM"	0.0773157613879994	0.292625013898027	-0.200809005472918	0.614731150825665	-0.465277910243178	0.674307372516715	1.22131080277564	"A6140"
"A6140L226"	0.155174527878321	0.0228142412284358	6.80165192980036	1.03426245296261e-11	"A6140"	"A6140"	"NGM"	-0.155861403364703	0.159916367876883	0.320982746945056	-0.171097898080707	0.110322963237647	-0.739736075327694	0.69746863053316	"A6140"
"A6140L228"	0.698451121884187	0.026843328388809	26.0195424266154	2.9765768050247e-149	"A6140"	"A6140"	"NGM"	-0.299546550601546	-0.303688754536011	-0.266745758886737	1.20501751573779	-0.0181288876871357	1.01291314716198	1.20078901540173	"A6140"
"A6140L23"	0.471965625465686	0.0315006952892971	14.9827050206744	9.52596118443872e-51	"A6140"	"A6140"	"NGM"	0.673691298553281	0.644147951097253	-0.156981863898935	-0.0251076324825932	-0.0530929733629753	0.0150362278854425	0.957426194024905	"A6140"
"A6140L231"	0.48668436394655	0.0227375259261009	21.4044555915327	1.21430688067766e-101	"A6140"	"A6140"	"NGM"	-0.232366484376734	-0.0452439786672136	0.0826470232459243	0.614198083882154	0.0868553151520622	0.455876191337811	0.971622519498943	"A6140"
"A6140L233"	0.569849751159742	0.0234867960171108	24.2625580238611	4.87336118555742e-130	"A6140"	"A6140"	"NGM"	0.472441840557563	0.463883003463481	-0.0742150043677416	0.124593861073635	-0.0251918270884351	-0.00543813767633303	1.05588310468677	"A6140"
"A6140L234"	-0.422076408544516	0.0349751795940963	-12.0678839520744	1.56096621625686e-33	"A6140"	"A6140"	"NGM"	-0.129660313095353	0.0409185683190386	0.597227466619863	0.498920156054981	0.358168673547274	-0.0956729670595874	0.391586565005795	"A6140"
"A6140L236"	0.300004871523046	0.0231909145850546	12.936310485848	2.80793893934342e-38	"A6140"	"A6140"	"NGM"	-0.335657584113989	-0.0219866435853957	0.150850198527927	-0.108940315158577	-0.106684547304661	-0.180454310137143	0.806164553374416	"A6140"
"A6140L239"	0.455298188847286	0.0258175229603148	17.6352390408307	1.3213619186771e-69	"A6140"	"A6140"	"NGM"	-0.392121877584036	-0.228919992742283	-0.0476264596763932	-0.207142462356535	-0.130850350315267	-0.300399266690553	0.941600605977274	"A6140"
"A6140L24"	0.625174177187175	0.0213584329244458	29.2706014246781	2.4556827056384e-188	"A6140"	"A6140"	"NGM"	1.09632673727467	0.761864216907275	-0.505497965202544	-0.621027791169167	-0.142918240936729	0.309244748575633	1.11594536745209	"A6140"
"A6140L244"	0.11366904133498	0.0284172429463212	4.00000244744697	6.33418285846847e-05	"A6140"	"A6140"	"NGM"	-0.416819298391644	-0.296259902725103	0.360997969298422	0.426224458637978	0.154044577693163	0.0800924443489567	0.669112395999282	"A6140"
"A6140L246"	0.95662274390121	0.0191547442373796	49.9418176534253	0	"A6140"	"A6140"	"NGM"	0.661260536575405	0.511559265383167	-0.418205955163558	0.946549096288453	-0.0181886602696686	0.952906563949813	1.55449459821862	"A6140"
"A6140L247"	0.813672173766402	0.0176338726659374	46.1425682934718	0	"A6140"	"A6140"	"NGM"	-0.13451716304707	-0.270272116514229	0.381192931358049	-0.0728937084639629	0.184939151240532	-0.240975534388672	1.34743111977458	"A6140"
"A6140L248"	0.676188713303164	0.0246684448700449	27.4110798984441	2.02349168660033e-165	"A6140"	"A6140"	"NGM"	-0.0554115420173713	-0.11375372953488	0.0137186367747688	-0.129319416416101	0.0241209634505151	-0.129221923883674	1.17435192821494	"A6140"
"A6140L25"	0.744102327800964	0.0174463576511458	42.6508697505747	0	"A6140"	"A6140"	"NGM"	0.193956404090716	0.252127180376777	-0.137425030586204	-0.318406402567898	-0.0609927981167458	-0.191126444111769	1.2568769832672	"A6140"
"A6140L250"	0.572732875387378	0.0259985832921572	22.0293878689979	1.50594586754249e-107	"A6140"	"A6140"	"NGM"	0.0679696400493229	-0.305105336547037	-0.361449238262347	-1.09453473788768	-0.261031001755017	-0.388290005311005	1.05893173953214	"A6140"
"A6140L251"	0.813650318362171	0.0208098033436073	39.0993756609489	0	"A6140"	"A6140"	"NGM"	-0.179894905388856	-0.27339542484829	-0.123468438169786	0.476887548880993	-0.0417230683748004	0.346724869680337	1.34740167144459	"A6140"
"A6140L252"	0.547154852865988	0.0225870017853895	24.2243241517747	1.23329712604194e-129	"A6140"	"A6140"	"NGM"	-0.19049857964598	-0.199571921156217	0.152495182008108	0.0345972072856495	0.183476012763075	-0.233641867435527	1.0321898202989	"A6140"
"A6140L253"	0.572705250068578	0.0194790435978279	29.4010969887884	5.31715691318511e-190	"A6140"	"A6140"	"NGM"	0.114760946444869	-0.112287222099466	-0.194703075057728	-0.433494815132056	-0.0419375157139116	-0.091072647201584	1.05890248660931	"A6140"
"A6140L257"	0.74458636399241	0.0161408924414999	46.1304334125915	0	"A6140"	"A6140"	"NGM"	-0.122964816285074	-0.101767102435506	-0.0035532006895955	-0.057448939580789	-0.0227712372222738	-0.0614961084490203	1.25748550447656	"A6140"
"A6140L258"	0.796100535765583	0.0188221775073277	42.2958786493036	0	"A6140"	"A6140"	"NGM"	0.0649590196026306	-0.00971773218811844	-0.130310483308203	0.794571178543459	-0.0920793703193025	0.652860699112677	1.32396135290933	"A6140"
"A6140L26"	0.696995505216357	0.020704772246807	33.6635195455407	1.97731996599076e-248	"A6140"	"A6140"	"NGM"	-0.208602318902405	-0.381207083218472	0.111983016035189	0.089536844016598	0.236863972308321	0.261447012727625	1.19904239840717	"A6140"
"A6140L261"	-0.293247835471624	0.0400985519068284	-7.3131776966162	2.60897625533579e-13	"A6140"	"A6140"	"NGM"	-0.147644749440941	0.0559561698995264	0.137935662147651	0.657052625146883	-0.155520422057869	0.45152481254837	0.445427802898266	"A6140"
"A6140L264"	0.725016445393857	0.0212532366057286	34.1132251451263	4.69641680376326e-255	"A6140"	"A6140"	"NGM"	-0.404952029516524	-0.426558668637031	0.040350551376852	-0.34212701443308	0.00821894387294808	-0.387097014286381	1.23311584935466	"A6140"
"A6140L265"	0.597663471397228	0.0289005748754119	20.6799855703116	5.24565310408838e-95	"A6140"	"A6140"	"NGM"	-0.0107816060636708	-0.0457063491686511	-0.314262226020354	-0.0950265895011139	-0.117461970481982	0.234417316881231	1.08566337216072	"A6140"
"A6140L266"	-0.334321667758425	0.0344508765106795	-9.7043007789595	2.89051349780885e-22	"A6140"	"A6140"	"NGM"	0.428993127123075	0.152117384307112	0.0114654610762373	-0.243996062217032	0.231472544325421	0.201288093573792	0.427503015819898	"A6140"
"A6140L268"	0.863860249556321	0.0268666391508018	32.1536402341765	7.85573632870754e-227	"A6140"	"A6140"	"NGM"	0.982270228214808	0.736600402257944	-0.431013787553809	-0.0995847496528138	-0.129866594544698	0.329035435094625	1.41678182788203	"A6140"
"A6140L27"	0.260161802159624	0.022008697448826	11.8208632184865	3.0453906616377e-32	"A6140"	"A6140"	"NGM"	-0.822424702497301	-1.57691269487432	0.549222293644428	1.16332662350633	0.191765289928856	1.51596467917978	0.774675949952496	"A6140"
"A6140L271"	0.532042906789363	0.0188473978102988	28.2289848256208	2.57849916250367e-175	"A6140"	"A6140"	"NGM"	-0.41116196508162	-0.0332178100684692	0.0500305946836075	0.823819826093384	-0.185549347520568	0.533855567971233	1.01670869299304	"A6140"
"A6140L272"	0.581389312459777	0.0221669373815065	26.2277689720376	1.28191860714771e-151	"A6140"	"A6140"	"NGM"	0.186291438565949	-0.326906043505644	-0.266052903165255	0.0290855551785043	-0.134065310656121	0.492639016677227	1.06813810517278	"A6140"
"A6140L273"	0.709881726861208	0.0216947329053621	32.7213858754515	7.75391612562681e-235	"A6140"	"A6140"	"NGM"	-0.07214686090764	-0.0269007963331168	-0.277445107527161	0.75250215136451	-0.122349279477117	0.687006784289253	1.21459350683567	"A6140"
"A6140L28"	0.547627779914705	0.0222196645169732	24.6460867803104	4.05340237311622e-134	"A6140"	"A6140"	"NGM"	-0.268240683890565	-0.187718762151885	0.119459257946661	-0.88465705559176	0.136231110792576	-1.42716928018084	1.03267808623232	"A6140"
"A6140L282"	0.537853985558385	0.0221285657178395	24.3058674663573	1.69939231000891e-130	"A6140"	"A6140"	"NGM"	-0.185326053508669	0.00467317933589889	-0.0410849301569058	-0.34378683269852	-0.0385022281955087	-0.536473199806486	1.02263406702649	"A6140"
"A6140L283"	0.597311100992446	0.0186964835388141	31.947777760049	5.80046206718255e-224	"A6140"	"A6140"	"NGM"	-0.519131783176844	-0.647009475057	0.133967531667747	-0.0750620336791018	0.16880498683971	-0.216622300490653	1.08528088391154	"A6140"
"A6140L287"	0.769212224305915	0.0205467133630853	37.4372392661056	9.68920251040763e-307	"A6140"	"A6140"	"NGM"	-0.0649066018668623	-0.0386977375748586	-0.0782772006660987	-0.358720044171136	-0.0525964706304471	-0.216033736018922	1.28883660643898	"A6140"
"A6140L289"	-0.344248992156041	0.0307273003175644	-11.2033595076122	3.92558800920923e-29	"A6140"	"A6140"	"NGM"	-0.115972096290174	-0.207408419284918	0.383409907083976	0.38594255785966	0.114759358572684	0.16287095357557	0.423280050754622	"A6140"
"A6140L29"	0.628091929703548	0.0216490773211236	29.0124110319796	4.58846555530414e-185	"A6140"	"A6140"	"NGM"	0.207371412847091	-0.283821139069199	-0.0630857836158534	-0.760326825028318	-0.0519770366773088	-0.336302214405009	1.11920617465698	"A6140"
"A6140L290"	0.527401975744299	0.0231353813842071	22.79633808433	4.98515394721205e-115	"A6140"	"A6140"	"NGM"	0.560200132053445	0.372582155609684	-0.449987573567934	-0.0172029250703207	-0.132396389469725	0.256963470004965	1.01200115019605	"A6140"
"A6140L293"	0.704979168725615	0.0175674515932463	40.1298483723524	0	"A6140"	"A6140"	"NGM"	-1.10383873472733	-0.863578659838232	0.300520746392062	0.943571603215942	0.093219855320966	0.265751166031181	1.20865346415701	"A6140"
"A6140L294"	0.502108317843576	0.0267500967455559	18.7703365195116	1.3204639776044e-78	"A6140"	"A6140"	"NGM"	0.12102218788273	0.132100088898024	-0.132868069457591	1.20425820326518	0.0111016306496858	1.0153153841027	0.986724950643421	"A6140"
"A6140L30"	0.53750312928984	0.0189792026719212	28.3206380468791	1.92529960657338e-176	"A6140"	"A6140"	"NGM"	-0.384551568636606	-0.578369537046448	0.0245978570726623	0.691664210241655	0.284986832676121	0.905078876905455	1.02227533238947	"A6140"
"A6140L309"	0.284015665386742	0.0211331211540928	13.4393620003327	3.55488294041632e-41	"A6140"	"A6140"	"NGM"	-0.0209116577579074	-0.229907019641641	0.224057528254623	-0.772910893087983	-0.0104948037336851	-0.860624470638045	0.79337712499426	"A6140"
"A6140L31"	0.59129782156968	0.0220839612829743	26.7749890516944	6.32035710411157e-158	"A6140"	"A6140"	"NGM"	0.33274875342032	0.0955259587418327	-0.219592175620383	-0.45762805980568	-0.0884336116834011	-0.0616526616197779	1.07877436905637	"A6140"
"A6140L317"	-0.0693298388407204	0.0294763075676075	-2.35205304062268	0.0186701124724259	"A6140"	"A6140"	"NGM"	-0.0103702307977901	-0.0311870766274331	-0.122350284265191	0.012816854543145	-0.22109857110323	0.0978981160356913	0.55721611998095	"A6140"
"A6140L32"	0.626362419921947	0.0178253332905492	35.1388896752935	1.71821027558151e-270	"A6140"	"A6140"	"NGM"	-0.180321023887417	0.0528493742140168	0.245034196404664	0.21200664232896	0.186177033115545	-0.0214687764542121	1.11727216955274	"A6140"
"A6140L324"	0.661490484397165	0.0185723077429202	35.6170322801874	7.63512703949658e-278	"A6140"	"A6140"	"NGM"	-0.339636228213199	-0.164906186436802	0.127766872965048	0.198065457500943	0.0915001443273415	-0.0628386652076004	1.15721726781517	"A6140"
"A6140L326"	0.47093336155147	0.022865489659228	20.5958135412776	2.99219769776085e-94	"A6140"	"A6140"	"NGM"	-0.114996147563799	0.00417921797195392	0.302739468939107	-0.0775373681145813	0.0866787984154615	-0.547364433874758	0.956438387440548	"A6140"
"A6140L331"	0.280314703533997	0.0220623771810085	12.7055530432729	5.50786683941992e-37	"A6140"	"A6140"	"NGM"	-0.46409710602058	-0.463659698381481	0.12773381899297	-0.0990701812905014	0.180648459672783	-0.175866243866835	0.790446293313268	"A6140"
"A6140L333"	0.636963647503668	0.021427205040259	29.7268657441273	3.4530695385556e-194	"A6140"	"A6140"	"NGM"	0.0166786549876684	0.0746467930613958	-0.281444901281731	1.13701823583273	0.116670373333176	1.12330125482359	1.12917963143038	"A6140"
"A6140L337"	0.712554238158313	0.0173639002165015	41.0365314977535	0	"A6140"	"A6140"	"NGM"	-0.317301770006934	-0.250045149305478	-0.114557112904742	-0.53878874576906	-0.164341004977757	-0.744352412098162	1.21784386307637	"A6140"
"A6140L34"	0.0213765419443645	0.0247307241012989	0.864371858130988	0.387383647157398	"A6140"	"A6140"	"NGM"	0.306861350779597	-0.0153645836916563	0.0824053727741575	-0.371862881299813	0.155659381744058	-0.0590058647269799	0.61012237549004	"A6140"
"A6140L349"	0.717418320891127	0.0179720465991148	39.9185655865406	0	"A6140"	"A6140"	"NGM"	0.186204074387179	0.0717057806348302	-0.237502784702701	0.981033727276142	-0.140999163628241	0.869454418348378	1.22378198643603	"A6140"
"A6140L35"	0.89415983541478	0.0195021542698699	45.8492853169674	0	"A6140"	"A6140"	"NGM"	0.422457593101038	0.473907742643573	-0.564651802023323	-0.132908496274445	-0.300172631703482	0.288557192665977	1.46036669784618	"A6140"
