exper_data_id	data_group_name	data_id	pop_label	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	population	population2
B301-20181112_160811_proc_herm	B301	A0L0_NGM_B301_herm	A0L0_herm	20181112	160811	1296.467	315.565749235474	3734	908.871963301233	2.9585027066012	23.6	44	Paris2	NGM	-1.31258743549207	-2.2422515417768	-0.866358091785651	-4.26211849002522	-0.11286490382231	-2.63941981735435	-0.293259431073947	0.0312370519395872	-2.66640149547808	A0	pops
B301-20181112_163546_proc_herm	B301	CA1100noML0_NGM_B301_herm	CA1100noML0_herm	20181112	163546	1223.923	296.021089630931	3376	816.527835978264	2.91197099471346	23.7	44	Paris2	NGM	-1.27042095729884	-2.34408262145444	-0.905251155783942	-4.04968734043775	-0.110374368115897	-2.21841093894053	-0.438378816696106	0.186825680502493	-2.72868781109179	CA1100	pops
B302-20181116_111649_proc_herm	B302	CA1100noML0_NGM_B302_herm	CA1100noML0_herm	20181116	111649	1288.65	279.887295081967	6134	1332.26917163915	3.12459197854867	25	38	Paris2	NGM	-1.44319813939371	-2.99442057006234	-1.08185825882035	-4.42762187295338	-0.348169527496091	-2.1181718051842	-0.177978869822501	0.0298443765093173	-3.26146477733094	CA1100	pops
B302-20181116_113941_proc_herm	B302	A4140L0_NGM_B302_herm	A4140L0_herm	20181116	113941	1274.58	259.591493570722	8366	1703.88868114411	3.2314412179283	25	37	Paris2	NGM	-1.67024863328049	-2.91596305251209	-1.4532473257981	-4.45520399051998	-0.539184916781549	-1.92492081612286	-0.371875322129741	0.192496518319036	-3.08009155760621	A4140	pops
B302-20181116_120226_proc_herm	B302	A460noML0_NGM_B302_herm	A460noML0_herm	20181116	120226	1241.853	283.230945121951	4700	1071.93479588419	3.03016836870662	24.8	37	Paris2	NGM	-1.04866054771539	-2.47045416494246	-1.35255810437301	-4.8761926317535	-0.340416987557365	-2.27472197663104	-0.777230494372408	0.601191493332106	-3.20030992188428	A460	pops
B302-20181116_130831_proc_herm	B302	CA2100noML0_NGM_B302_herm	CA2100noML0_herm	20181116	130831	1278.508	255.22427184466	6003	1198.35879312722	3.07858686692319	24.7	37	Paris2	NGM	-1.24505543070545	-2.59422320054253	-1.30429549335665	-4.52078100108584	-0.412237972454381	-2.08744870460441	-0.617827696850189	0.421098050774877	-3.03251556819676	CA2100	pops
B302-20181116_133112_proc_herm	B302	CA250noML0_NGM_B302_herm	CA250noML0_herm	20181116	133112	1246.078	307.296875	4109	1013.32569821071	3.00574905661529	24.6	37	Paris2	NGM	-1.33592201321952	-2.90418193493514	-1.32737067464259	-4.63705052683236	-0.482286162404953	-2.01729489776762	-0.547093515528016	0.384484349241104	-3.21765303935952	CA250	pops
B302-20181116_141555_proc_herm	B302	A560L0_NGM_B302_herm	A560L0_herm	20181116	141555	1296.188	333.562340966921	3649	939.037378982289	2.97268287997926	24.7	37	Paris2	NGM	-1.22305453882658	-2.60714656511044	-1.28747068149608	-4.37574131309143	-0.318882451936157	-1.9027591393941	-0.546397638050032	0.365422367311524	-3.1038916643282	A560	pops
B302-20181116_153046_proc_herm	B302	A4140noML0_NGM_B302_herm	A4140noML0_herm	20181116	153046	1295.741	383.41446923597	3220	952.809698033653	2.97900616889985	24.6	36	Paris2	NGM	-1.73349192648438	-2.87331201731847	-1.00692829284261	-3.86284931573483	-0.292617942120599	-1.8273268206926	0.0249039583583594	-0.196884963266326	-3.10656692048525	A4140	pops
B302-20181116_162826_proc_herm	B302	CA250L0_NGM_B302_herm	CA250L0_herm	20181116	162826	1235.101	239.196013289037	4922	953.219839841955	2.97919307295706	24.4	36	Paris2	NGM	-0.976065840729251	-2.58292736174327	-0.960490997077285	-4.43333127281294	-0.138045779982318	-1.96406382394997	-0.483223752499283	0.325599353758048	-3.23634756077929	CA250	pops
B302-20181116_164940_proc_herm	B302	CA2100L0_NGM_B302_herm	CA2100L0_herm	20181116	164940	1196.843	290.088452088452	3398	823.600555959771	2.91571663111037	24.5	36	Paris2	NGM	-0.992308461778594	-2.62378374260458	-0.837709034955596	-4.51442127114433	-0.153100620352618	-2.18775778067752	-0.332249753949523	0.168679699832675	-3.17191352273613	CA2100	pops
B302-20181116_171007_proc_herm	B302	CA1100L0_NGM_B302_herm	CA1100L0_herm	20181116	171007	1291.868	312.482535575679	3954	956.410365196936	2.98064427418092	24.6	36	Paris2	NGM	-1.17317740717825	-2.66199643696828	-0.766289619567145	-4.37957469779515	-0.135628054019685	-2.2810765815065	-0.0799360400839025	-0.0832296205175296	-3.15821561528452	CA1100	pops
B302-20181116_173211_proc_herm	B302	A460L0_NGM_B302_herm	A460L0_herm	20181116	173211	1217.423	216.91320754717	6598	1175.5924961137	3.07025680527841	24.5	36	Paris2	NGM	-1.06470688791147	-2.520187672795	-1.42829688732846	-4.33893437413645	-0.383867291698096	-1.55600816107147	-0.875216662170848	0.696450733020929	-3.21973893317108	A460	pops
B302-20181116_175339_proc_herm	B302	A560noML0_NGM_B302_herm	A560noML0_herm	20181116	175339	1295.964	287.236215902496	5238	1160.9452877528	3.06481175308315	24.6	36	Paris2	NGM	-1.20352111849311	-2.6962583413122	-1.1465628044728	-4.27651934073389	-0.339768111117567	-1.71298219752137	-0.442074338312058	0.286153396689784	-3.23969284472254	A560	pops
