exper_data_id	data_group_name	data_id	pop_label	date_str	time_str	exper_duration_s	trackL	n_tracks	mean_nb_tracks	logD	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	population	population2
B302-20181116_141555_proc_male	B302	A560L0_NGM_B302_male	A560L0_male	20181116	141555	1296.188	142.301610541728	3649	400.604369787997	2.60271568226276	24.7	37	Paris2	NGM	-0.324931674114568	-1.09050494292859	-1.89983057356952	-2.37576774720299	-0.879949581351979	-0.484531589614419	-1.97950544735155	1.21256024979812	-2.11261450401114	A560	pops
B302-20181116_153046_proc_male	B302	A4140noML0_NGM_B302_male	A4140noML0_male	20181116	153046	1295.741	123.451612903226	3220	306.785224476487	2.48683443910076	24.6	36	Paris2	NGM	-0.835794376577956	-1.59704286290397	-1.39402400451967	-2.72513655073444	-0.719761206334653	-0.405615674253179	-1.4212840248585	0.94950082070858	-2.38239759282913	A4140	pops
B302-20181116_162826_proc_male	B302	CA250L0_NGM_B302_male	CA250L0_male	20181116	162826	1235.101	83.5494505494506	4922	332.952848070235	2.52238273418846	24.4	36	Paris2	NGM	0.0305673840938788	-1.0208353850632	-1.38471204244876	-2.82161216595987	-0.168961606171674	-0.787898910001348	-1.68664698076585	1.18702667929795	-2.47577721743516	CA250	pops
B302-20181116_164940_proc_male	B302	CA2100L0_NGM_B302_male	CA2100L0_male	20181116	164940	1196.843	97.6284658040666	3398	277.180488002368	2.44276265504815	24.5	36	Paris2	NGM	0.0509203652016358	-0.819297538168029	-1.29995439974842	-2.90999990994205	-0.177340138390967	-1.0125137173336	-1.64564047716215	1.09814887285915	-2.33347975936666	CA2100	pops
B302-20181116_171007_proc_male	B302	CA1100L0_NGM_B302_male	CA1100L0_male	20181116	171007	1291.868	92.8	3954	284.031495477866	2.45336650044788	24.6	36	Paris2	NGM	0.0369597890063001	-0.958534679070175	-1.40238221452214	-2.88559005555982	-0.146476314569022	-0.861609015481465	-1.65778381260742	1.16000939100419	-2.46144163203043	CA1100	pops
B302-20181116_173211_proc_male	B302	A460L0_NGM_B302_male	A460L0_male	20181116	173211	1217.423	88.4672489082969	6598	479.461048704471	2.6807533309648	24.5	36	Paris2	NGM	-0.277161785354196	-1.37337492920579	-1.8157530632835	-2.40665300486453	-0.809884883191999	-0.184715141705751	-1.95375226265244	1.35278481303385	-2.42520631455857	A460	pops
B302-20181116_175339_proc_male	B302	A560noML0_NGM_B302_male	A560noML0_male	20181116	175339	1295.964	98.6707317073171	5238	398.805285241663	2.60076090524664	24.6	36	Paris2	NGM	-0.538799297796356	-1.53528981600585	-1.56461156781085	-2.30078376599829	-0.548747746639346	-0.671988166092827	-1.5787284904695	0.990533624719449	-2.199103149554	A560	pops
B303-20181119_102914_proc_male	B303	A460L0_NGM_B303_male	A460L0_male	20181119	102914	1199.445	148.579143389199	3580	443.466214235195	2.64686053841771	23.1	24	Paris2	NGM	-0.150583366488657	-1.10590344201578	-1.80595022184398	-2.97383338438645	-0.530812692457188	-0.851736761670038	-1.93357471336009	1.32418507519405	-2.39222625289439	A460	pops
B303-20181119_111011_proc_male	B303	CA350L0_NGM_B303_male	CA350L0_male	20181119	111011	1197.331	145.651709401709	3125	380.146836489109	2.57995138072034	23.4	24	Paris2	NGM	-0.357878737715231	-1.16545063780984	-1.76427049981598	-2.56662557652069	-0.724621228233969	-0.749383057448319	-1.78334179165572	1.10575570877288	-2.14529164696821	CA350	pops
B303-20181119_113048_proc_male	B303	A0L0_NGM_B303_male	A0L0_male	20181119	113048	1331.712	150.10752688172	3328	375.124538535634	2.57417547418019	23.6	24	Paris2	NGM	0.238752261623653	-0.833998385218718	-1.53254467833601	-3.74071543463035	-0.174063729439766	-1.19045196002582	-1.89280060193662	1.42544059695836	-2.70150496310862	A0	pops
B303-20181119_115336_proc_male	B303	A560noML0_NGM_B303_male	A560noML0_male	20181119	115336	1243.058	135.038461538462	4110	446.486066557696	2.64980791045519	23.8	25	Paris2	NGM	-0.447518622933902	-0.956015709174071	-1.41543002644597	-2.47063988263623	-0.823608592491285	-0.900152396690761	-1.53273639862779	0.771019760960328	-1.82642354643613	A560	pops
B303-20181119_121453_proc_male	B303	CA150noML0_NGM_B303_male	CA150noML0_male	20181119	121453	1258.491	126.628252788104	4410	443.730304623187	2.64711908993178	23.8	24	Paris2	NGM	-0.244766985577665	-1.03135506175632	-1.95462873046719	-2.41690160199567	-0.983900876544464	-0.398997772371286	-2.07133719288852	1.29825038940653	-2.16925523432024	CA150	pops
B303-20181119_123638_proc_male	B303	CA150L0_NGM_B303_male	CA150L0_male	20181119	123638	1305.423	121.082949308756	3782	350.794887393369	2.54505325518138	23.8	24	Paris2	NGM	-0.311056218613822	-1.12111188349879	-1.8100578780993	-2.49035534841195	-0.761702170039941	-0.509108990976754	-1.86876342786521	1.17062050186535	-2.16369953521948	CA150	pops
B303-20181119_125857_proc_male	B303	A560L0_NGM_B303_male	A560L0_male	20181119	125857	1215.247	121.67955801105	4320	432.550494350313	2.6360368126972	23.7	24	Paris2	NGM	-0.158909764883127	-0.918943061001667	-1.68876355259422	-2.44290899833922	-0.626568515993417	-0.471579277608238	-1.90665207854179	1.20753234601997	-2.18858201565436	A560	pops
B303-20181119_134103_proc_male	B303	A5140L0_NGM_B303_male	A5140L0_male	20181119	134103	1273.846	114.826589595376	3750	338.031214905616	2.52895680629931	23.7	25	Paris2	NGM	0.0660845673778585	-0.87604309892673	-1.44492478253993	-3.1395080215166	-0.00881841623858532	-1.05689220862101	-1.82806671589706	1.36461275682172	-2.66578272341411	A5140	pops
B303-20181119_150725_proc_male	B303	CA350noML0_NGM_B303_male	CA350noML0_male	20181119	150725	1774.65	152.610294117647	3950	339.678619313502	2.53106821155536	24.2	27	Paris2	NGM	-0.307797968018231	-1.09216215247492	-1.88041836176263	-2.42188638346904	-0.837579829457877	-0.507489692173569	-1.95128238443688	1.20521083789681	-2.13083297780764	CA350	pops
B303-20181119_153727_proc_male	B303	A0noML0_NGM_B303_male	A0noML0_male	20181119	153727	1969.795	120.899470899471	8963	550.119153349439	2.74045676592625	24.2	27	Paris2	NGM	-0.312321490728683	-1.24088422461134	-1.73737290606127	-2.65018072485202	-0.64195986539161	-0.629912914313237	-1.74435320632695	1.1681968901139	-2.33307844793136	A0	pops
